def_instance,state,location,control,no_of_students_thous,male,female,student,academic,sat_verbal,set_math,expenses_thous,percent_financial_aid,no_of_applicants_thous,percent_admittance,percent_enrolled,academics_scale,social_scale,quality_of_life_scale
adelphi,newyork,,private,7.5,0.3,0.7,0.9375,0.0625,500,475,8.5,60,0,70,40,2,2,2
arizona-state,arizona,,state,0,0.5,0.5,0.9523809523809523,0.047619047619047616,450,500,5.5,50,0,80,60,3,4,5
boston-college,massachusetts,suburban,private:roman-catholic,7.5,0.4,0.6,0.9523809523809523,0.047619047619047616,500,550,0,60,0,50,40,4,5,3
boston-university,massachusetts,urban,private,12.5,0.45,0.55,0.9230769230769231,0.07692307692307693,550,575,0,60,0,60,40,4,4,3
brown,rhodeisland,urban,private,5,0.5,0.5,0.9166666666666666,0.08333333333333333,625,650,0,40,0,20,50,5,4,5
cal-tech,california,suburban,private,5,0.7,0.3,0.9090909090909091,0.09090909090909091,650,780,0,70,0,15,90,5,1,3
carnegie-mellon,pennsylvania,urban,private,5,0.6,0.4,0.9090909090909091,0.09090909090909091,600,650,0,70,0,40,50,4,3,3
case-western,ohio,urban,private,5,0.7,0.3,0.9,0.1,550,650,0,65,0,85,35,3,2,3
ccny,newyork,urban,city,12.5,0.6,0.4,0.9375,0.0625,550,650,4,80,0,80,60,3,2,2
colgate,newyork,small-town,private,5,0.55,0.45,0.9285714285714286,0.07142857142857142,550,650,0,60,0,40,40,4,3,3
columbia,newyork,urban,private,5,0.7,0.3,0.9,0.1,625,650,0,60,0,30,50,5,3,3
cooper-union,newyork,urban,private,5,0.7,0.3,0.8571428571428571,0.14285714285714285,625,650,4,35,0,20,65,3,1,3
cornell,newyork,small-city,private,12.5,0.55,0.45,0.875,0.125,600,650,0,50,0,30,50,5,3,2
dartmouth,newhampshire,small-town,private,5,0.6,0.4,0.875,0.125,625,650,0,40,0,20,60,5,5,3
florida-tech,florida,small-city,private,5,0.8,0.2,0.9523809523809523,0.047619047619047616,500,550,5.5,60,0,60,50,3,3,3
florida-state,florida,small-city,state,17.5,0.45,0.55,0.9523809523809523,0.047619047619047616,500,525,5.5,40,0,60,50,3,3,3
georgia-tech,georgia,urban,state,7.5,0.8,0.2,0.9523809523809523,0.047619047619047616,525,625,5.5,20,0,60,50,4,2,2
harvard,massachusetts,urban,private,7.5,0.65,0.35,0.9090909090909091,0.09090909090909091,700,675,0,60,0,20,80,5,3,4
hofstra,newyork,suburban,private,7.5,0.5,0.5,0.9090909090909091,0.09090909090909091,500,525,8.5,80,0,70,50,2,2,2
illinois-tech,illinois,urban,state,5,0.9,0.1,0.9615384615384616,0.038461538461538464,450,575,5.5,65,0,50,60,3,1,3
johns-hopkins,maryland,urban,private,5,0.7,0.3,0.9090909090909091,0.09090909090909091,625,675,0,70,0,50,40,5,3,3
mit,massachusetts,urban,private,5,0.75,0.25,0.8333333333333334,0.16666666666666666,650,750,0,50,0,30,60,5,3,3
university-of-montana,montana,small-city,state,5,0.65,0.35,0.9545454545454546,0.045454545454545456,650,750,5.5,65,0,90,60,3,2,4
morgan-state,maryland,urban,state,5,0.4,0.6,0.9285714285714286,0.07142857142857142,300,325,4,65,0,70,50,2,2,2
new-jersey-tech,newjersey,urban,state,5,0.9,0.1,0.9615384615384616,0.038461538461538464,450,575,5.5,65,0,50,60,3,1,3
nyu,newyork,urban,private,7.5,0.5,0.5,0.875,0.125,550,575,0,50,0,50,60,4,3,3
pratt,newyork,urban,private,5,0.6,0.4,0.875,0.125,425,475,5.5,80,0,50,60,3,1,2
princeton,newjersey,small-town,private,5,0.65,0.35,0.875,0.125,650,675,0,50,0,20,60,5,3,3
rensselaer,newyork,small-city,private,5,0.8,0.2,0.9166666666666666,0.08333333333333333,575,700,0,60,0,50,30,4,3,3
rochester-tech,newyork,suburban,private,7.5,0.65,0.35,0.9333333333333333,0.06666666666666667,525,575,8.5,60,0,70,50,3,3,3
stanford,california,suburban,private,7.5,0.55,0.45,0.9090909090909091,0.09090909090909091,625,675,0,45,0,20,70,5,4,5
stevens,newjersey,urban,private,5,0.8,0.2,0.9285714285714286,0.07142857142857142,500,625,8.5,65,0,60,40,3,2,4
temple,pennsylvania,urban,state,17.5,0.5,0.5,0.9166666666666666,0.08333333333333333,475,500,5.5,60,0,70,60,2,2,2
texas-a&m,texas,small-city,state,0,0.6,0.4,0.9230769230769231,0.07692307692307693,475,550,4,20,0,80,70,3,3,3
university-of-california-berkely,california,urban,state,0,0.55,0.45,0.9166666666666666,0.08333333333333333,530,600,5.5,20,0,50,70,5,3,3
university-of-california-davis,california,small-city,state,12.5,0.5,0.5,0.9375,0.0625,500,550,5.5,40,0,70,70,4,3,4
ucla,california,urban,state,0,0.5,0.5,0.9166666666666666,0.08333333333333333,500,550,5.5,50,0,80,70,4,3,3
university-of-california-san-diego,california,suburban,state,7.5,0.55,0.45,0.9375,0.0625,550,600,5.5,25,0,80,65,4,4,4
university-of-california-santa-cruz,california,suburban,state,7.5,0.5,0.5,0.9473684210526315,0.05263157894736842,525,550,5.5,65,0,70,60,4,3,5
university-of-maine,maine,small-town,public,12.5,0.55,0.45,0.9375,0.0625,500,500,5.5,70,0,90,50,2,4,3
university-of-oklahoma,oklahoma,suburban,state,12.5,0.6,0.4,0.9523809523809523,0.047619047619047616,500,500,4,30,0,90,70,3,3,3
university-of-penn,pennsylvania,urban,private,7.5,0.6,0.4,0.9090909090909091,0.09090909090909091,600,650,0,60,0,40,50,5,4,3
university-of-san-francisco,california,urban,private,5,0.5,0.5,0.9285714285714286,0.07142857142857142,450,525,8.5,70,0,60,60,3,3,4
usc,california,urban,private,12.5,0.6,0.4,0.9473684210526315,0.05263157894736842,475,525,0,60,0,70,50,4,4,3
worcester,massachusetts,urban,private,5,0.8,0.2,0.9230769230769231,0.07692307692307693,550,650,0,70,0,50,50,4,3,4
yale,connecticut,small-city,private,5,0.55,0.45,0.8333333333333334,0.16666666666666666,675,675,0,40,0,20,60,5,3,4
abilene-christian-university,texas,suburban,private,5,0.5,0.5,0.9545454545454546,0.045454545454545456,0,0,4,70,0,90,80,2,3,3
brandeis,massachusetts,suburban,private,5,0.5,0.5,0.9,0.1,580,610,0,50,0,70,40,4,4,3
emory,georgia,suburban,private,7.5,0.5,0.5,0.8888888888888888,0.1111111111111111,550,600,8.5,60,0,60,30,4,4,4
georgetown,district-of-columbia,urban,private,7.5,0.5,0.5,0.9411764705882353,0.058823529411764705,618,648,0,45,0,30,50,4,5,5
clark-university,massachusetts,urban,private,5,0.45,0.55,0.9375,0.0625,500,575,0,50,0,60,30,4,3,3
university-of-pittsburgh,pennsylvania,urban,state,17.5,0.45,0.55,0.9166666666666666,0.08333333333333333,500,550,5.5,90,0,80,50,3,2,2
university-of-rochester,newyork,urban,private,7.5,0.6,0.4,0.9090909090909091,0.09090909090909091,550,625,0,80,0,70,30,4,3,3
university-of-washington,washington,urban,state,0,0.5,0.5,0.9285714285714286,0.07142857142857142,500,575,5.5,45,0,70,60,4,3,3
brandeis,massachusetts,suburban,private,5,0.5,0.5,0.9090909090909091,0.09090909090909091,580,620,0,45,0,75,35,4,3,3
huntington-college,indiana,small-city,private,5,0.55,0.45,0.9285714285714286,0.07142857142857142,450,500,5.5,90,0,90,65,3,4,3
tufts,massachusetts,suburban,private,5,0.5,0.5,0.9090909090909091,0.09090909090909091,580,620,0,45,0,75,35,3,4,4
trinity-college,connecticut,urban,private,5,0.51,0.49,0.9,0.1,560,600,0,85,0,45,35,4,3,4
university-of-portland,oregon,small-city,private,5,0.5,0.5,0.9375,0.0625,500,480,8.5,30,0,90,50,3,3,2
florida-academic-university,florida,urban,state,7.5,0.6666666666666666,0.3333333333333333,0.9523809523809523,0.047619047619047616,510,500,4,70,0,80,60,2,5,4
bennington,vermont,small-town,private,5,0.30095541401273884,0.6990445859872612,0.9,0.1,510,500,0,50,0,80,55,4,5,4
juilliard,newyork,urban,private,5,0.5,0.5,0.8333333333333334,0.16666666666666666,510,500,5.5,90,0,50,95,4,4,2
mesa,colorado,small-city,state,5,0.5384615384615384,0.46153846153846156,0.9523809523809523,0.047619047619047616,510,500,4,60,0,95,55,2,3,3
hampshire-college,massachusetts,small-town,private,5,0.45454545454545453,0.5454545454545454,0.9333333333333333,0.06666666666666667,556,542,0,35,0,75,50,3,4,3
rutgers,newjersey,urban,private,7.5,0.5432098765432098,0.4567901234567901,0.9444444444444444,0.05555555555555555,540,490,8.5,55,0,55,35,3,2,2
university-of-pennsylvania,pennsylvania,urban,private,7.5,0.5416666666666666,0.4583333333333333,0.875,0.125,680,640,0,40,0,40,50,5,3,3
university-of-georgia,georgia,small-town,state,12.5,0.5,0.5,0.9523809523809523,0.047619047619047616,490,530,4,40,0,70,50,2,4,5
golden-gate-college,california,urban,private,5,0.23076923076923078,0.7692307692307693,0.9523809523809523,0.047619047619047616,500,500,4,25,0,100,50,2,1,1
augsburg,minnesota,small-town,private,5,0.5652173913043478,0.43478260869565216,0.9090909090909091,0.09090909090909091,420,490,4,80,0,85,50,1,3,4
vanderbilt,tennessee,urban,private,7.5,0.5,0.5,0.875,0.125,550,600,8.5,35,0,60,25,4,3,4
university-of-alabama,alabama,small-city,state,17.5,0.51,0.49,0.9444444444444444,0.05555555555555555,470,535,4,50,0,70,50,2,4,4
auburn,alabama,small-town,state,17.5,0.55,0.45,0.9473684210526315,0.05263157894736842,480,545,4,50,0,90,60,2,4,4
georgetown,district-of-columbia,urban,private,7.5,0.55,0.45,0.9333333333333333,0.06666666666666667,620,635,8.5,30,0,30,10,4,4,4
washington-and-lee,virginia,small-town,private,5,0.8,0.2,0.9166666666666666,0.08333333333333333,560,590,8.5,30,0,50,30,4,4,4
rutgers,newjersey,urban,state,0,0.5,0.5,0.975609756097561,0.024390243902439025,460,510,4,20,0,70,50,4,3,4
queens,newyork,urban,state,17.5,0.4,0.6,0.9473684210526315,0.05263157894736842,450,450,4,50,0,70,50,4,3,3
baruch,newyork,urban,state,12.5,0.5,0.5,0.9375,0.0625,450,400,4,80,0,60,50,3,2,3
nicholls-state,louisiana,suburban,state,5,0.5,0.5,0.9523809523809523,0.047619047619047616,0,0,4,90,0,100,70,2,3,3
boston-college,massachusetts,suburban,private,12.5,0.4,0.6,0.9411764705882353,0.058823529411764705,507,555,8.5,55,0,30,20,4,5,4
touro,newyork,urban,private,5,0.4,0.6,0.9375,0.0625,520,490,5.5,90,0,60,30,3,2,4
eastern-michigan,michigan,suburban,state,12.5,0.4,0.6,0.9523809523809523,0.047619047619047616,0,0,5.5,65,0,70,30,2,3,3
suny-stony-brook,newyork,suburban,state,12.5,0.6,0.4,0.9090909090909091,0.09090909090909091,480,560,4,50,0,60,30,4,4,4
georgetown,maryland,urban,private,12.5,0.45,0.55,0.9090909090909091,0.09090909090909091,600,620,0,50,0,30,70,4,3,3
university-of-michigan,michigan,suburban,private,0,0.6,0.4,0.9285714285714286,0.07142857142857142,530,600,5.5,45,0,70,55,5,4,4
oregon-state,oregon,urban,state,17.5,0.6,0.4,0.9230769230769231,0.07692307692307693,450,675,4,40,0,90,85,3,3,3
university-of-pittsburgh,pennsylvania,urban,state,0,0.5,0.5,0.9230769230769231,0.07692307692307693,480,530,4,40,0,75,55,3,3,3
university-of-missouri,missouri,urban,private,12.5,0.5,0.5,0.9166666666666666,0.08333333333333333,494,529,5.5,30,0,65,65,2,3,3
university-of-kansas,kansas,small-town,state,0,0.55,0.45,0.9411764705882353,0.058823529411764705,480,460,8.5,50,0,80,50,4,3,5
university-of-evansville,indiana,small-city,private,7.5,0.4,0.6,0.9375,0.0625,458,516,0,55,0,80,50,3,5,4
university-of-lowell,massachusetts,urban,state,7.5,0.6,0.4,0.9411764705882353,0.058823529411764705,472,535,5.5,65,0,60,30,3,3,3
oklahoma-state-university,oklahoma,small-town,state,0,0.6,0.4,0.9523809523809523,0.047619047619047616,470,470,8.5,50,0,80,40,4,3,4
polytechnic-institute-of-newyork,newyork,urban,private,5,0.87,0.13,0.8888888888888888,0.1111111111111111,600,600,0,80,0,75,45,3,2,2
tufts,massachusetts,suburban,private,7.5,0.5,0.5,0.9333333333333333,0.06666666666666667,600,600,0,45,0,35,40,4,3,3
rutgers,newjersey,small-town,state,0,0.47619047619047616,0.5238095238095238,0.9565217391304348,0.043478260869565216,461,507,4,10,0,70,50,3,3,3
seton-hall,newjersey,small-town,private,12.5,0.5,0.5,0.9655172413793104,0.034482758620689655,430,452,5.5,60,0,65,45,3,3,3
university-of-pittsburgh,pennsylvania,urban,state,0,0.4,0.6,0.9900990099009901,0.009900990099009901,550,550,4,50,0,70,30,3,5,4
barnard,newyork,urban,private,5,0.0,1.0,0.8888888888888888,0.1111111111111111,630,610,0,60,0,60,20,4,3,4
university-of-massachusetts-amherst,massachusetts,small-town,state,0,0.5,0.5,0.9473684210526315,0.05263157894736842,480,510,4,60,0,80,20,3,3,3
fordham,newyork,urban,private,7.5,0.55,0.45,0.9444444444444444,0.05555555555555555,525,540,5.5,70,0,60,45,3,3,3
marist-college,newyork,suburban,private,5,0.5,0.5,0.9473684210526315,0.05263157894736842,500,500,8.5,85,0,40,60,3,3,3
hampshire-college,massachusetts,small-town,private,5,0.48,0.52,0.9375,0.0625,550,540,8.5,20,0,75,40,3,5,5
hampshire-college,massachusetts,small-town,private,5,0.48,0.52,0.9375,0.0625,550,540,8.5,20,0,75,40,3,5,5
fordham,newyork,urban,private,17.5,0.5,0.5,0.9444444444444444,0.05555555555555555,525,550,8.5,85,0,65,30,3,5,3
st-johns-u,newyork,urban,private,12.5,0.625,0.375,0.9473684210526315,0.05263157894736842,468,508,5.5,75,0,75,35,2,3,2
university-of-chicago,illinois,urban,private,7.5,0.8333333333333334,0.16666666666666666,0.8888888888888888,0.1111111111111111,617,639,8.5,60,0,70,25,5,4,4
fordham,newyork,urban,private,17.5,0.51,0.49,0.9444444444444444,0.05555555555555555,525,550,5.5,85,0,70,40,4,3,3
newyorkit,newyork,small-town,private,12.5,0.55,0.45,0.9523809523809523,0.047619047619047616,410,470,5.5,75,0,80,50,2,3,2
university-of-rochester,newyork,urban,private,7.5,0.6,0.4,0.8888888888888888,0.1111111111111111,0,0,0,25,0,80,50,2,3,2
wayne-state-college,nebraska,urban,state,5,0.4166666666666667,0.5833333333333334,0.9523809523809523,0.047619047619047616,0,0,4,5,0,100,75,2,3,2
vassar,newyork,small-city,private,5,0.4166666666666667,0.5833333333333334,0.9230769230769231,0.07692307692307693,574,604,8.5,30,0,100,75,2,3,2
university-of-mississippi,mississippi,small-town,state,7.5,0.55,0.45,0.9090909090909091,0.09090909090909091,574,604,4,50,0,90,75,2,3,2
reed,oregon,suburban,private,5,0.6,0.4,0.9090909090909091,0.09090909090909091,625,625,0,40,0,80,40,4,3,4
suny-albany,newyork,urban,state,17.5,0.5148514851485149,0.48514851485148514,0.95,0.05,522,596,5.5,75,0,50,35,3,3,4
suny-binghamton,newyork,urban,state,7.5,0.45,0.55,0.95,0.05,527,594,5.5,85,0,45,40,3,4,3
lesley,massachusetts,urban,private,5,0.2,0.8,0.95,0.05,420,400,5.5,40,0,70,50,2,3,4
university-of-puget-sound,washington,urban,private,5,0.5,0.5,0.95,0.05,510,549,5.5,70,0,80,40,3,4,2
purdue,indiana,small-town,state,0,0.6,0.4,0.95,0.05,450,500,0,0,0,80,50,4,4,4
northwestern,illinois,small-city,private,12.5,0.55,0.45,0.95,0.05,600,660,0,60,0,50,50,4,3,4
emory,georgia,urban,private,7.5,0.55,0.45,0.95,0.05,550,600,0,35,0,35,30,4,4,4
yale,connecticut,small-city,private,12.5,0.55,0.45,0.9444444444444444,0.05555555555555555,615,660,0,25,0,20,60,5,3,2
university-of-bridgeport,connecticut,small-city,private,5,0.53,0.47,0.9523809523809523,0.047619047619047616,432,488,0,35,0,80,25,1,4,4
bard,newyork,small-town,private,5,0.45,0.55,0.9,0.1,560,520,0,80,0,70,30,3,4,4
drew,newjersey,suburban,private,5,0.52,0.48,0.9375,0.0625,535,553,8.5,50,0,70,30,3,3,3
georgetown,district-of-columbia,urban,private,12.5,0.56,0.44,0.9285714285714286,0.07142857142857142,616,645,0,50,0,30,50,5,3,4
swarthmore,pennsylvania,suburban,private,5,0.56,0.44,0.9090909090909091,0.09090909090909091,620,660,0,50,0,50,40,5,3,4
wesleyan,connecticut,suburban,private,5,0.5,0.5,0.9,0.1,635,660,0,60,0,35,40,5,4,4
mount-holyoke,massachusetts,small-city,private,5,0.0,1.0,0.8888888888888888,0.1111111111111111,610,590,8.5,60,0,50,50,4,3,4
university-of-texas,texas,urban,state,0,0.5,0.5,0.9230769230769231,0.07692307692307693,485,540,5.5,40,0,80,60,3,4,4
tulane,louisiana,urban,private,7.5,0.6,0.4,0.9166666666666666,0.08333333333333333,552,594,5.5,30,0,80,30,3,5,4
texas-christian-university,texas,small-city,private,7.5,0.5,0.5,0.9375,0.0625,515,515,8.5,60,0,70,80,3,3,4
oregon-institute-of-technology,oregon,suburban,state,5,0.75,0.25,0.9333333333333333,0.06666666666666667,404,443,5.5,15,0,80,60,3,2,2
san-jose-state,california,urban,state,7.5,0.5,0.5,0.9333333333333333,0.06666666666666667,425,465,4,20,0,60,50,4,2,3
university-of-chicago,illinois,urban,private,7.5,0.6,0.4,0.9333333333333333,0.06666666666666667,620,640,8.5,60,0,40,20,4,3,3
bryn-mawr,pennsylvania,suburban,private,5,0.0,1.0,0.9333333333333333,0.06666666666666667,640,610,8.5,30,0,50,30,3,2,3
oberlin,ohio,suburban,private,5,0.5,0.5,0.9333333333333333,0.06666666666666667,550,550,8.5,50,0,70,30,3,3,2
university-of-texas,texas,small-city,state,0,0.5,0.5,0.9375,0.0625,300,300,4,40,0,60,60,3,5,5
corpus-christi-state-u,texas,small-city,state,5,0.7,0.3,0.9230769230769231,0.07692307692307693,250,250,4,40,0,80,70,1,3,3
villanova,pennsylvania,suburban,private,12.5,0.5714285714285714,0.42857142857142855,0.9333333333333333,0.06666666666666667,528,585,5.5,40,0,60,40,1,3,3
glassboro-state-college,newjersey,small-town,state,7.5,0.5,0.5,0.9473684210526315,0.05263157894736842,440,470,4,40,0,50,50,1,3,3
saint-elizabeths,newjersey,small-town,private,5,0.0,1.0,0.9090909090909091,0.09090909090909091,428,440,5.5,40,0,90,50,1,3,3
juilliard,newyork,urban,private,5,0.4,0.6,0.875,0.125,0,0,0,70,0,15,80,1,1,2
eastman-school-of-music,newyork,urban,private,5,0.4,0.6,0.875,0.125,0,400,0,40,0,15,70,3,4,4
